run_id,duration_days,final_vials,waste_vials,total_media_l,failures,violations,daily_metrics
0,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5535432.595271258), 'flask_count': 3, 'avg_confluence': np.float64(0.07380576793695011), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 0}, {'day': 2, 'total_cells': np.float64(10448548.56376974), 'flask_count': 3, 'avg_confluence': np.float64(0.13931398085026322), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 0}, {'day': 3, 'total_cells': np.float64(19494594.96959898), 'flask_count': 3, 'avg_confluence': np.float64(0.25992793292798644), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 0}, {'day': 4, 'total_cells': np.float64(34944811.611804284), 'flask_count': 3, 'avg_confluence': np.float64(0.4659308214907238), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 0}]"
1,4,30,3,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5319806.166721256), 'flask_count': 3, 'avg_confluence': np.float64(0.07093074888961676), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 1}, {'day': 2, 'total_cells': np.float64(10044557.927143335), 'flask_count': 3, 'avg_confluence': np.float64(0.13392743902857782), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 1}, {'day': 3, 'total_cells': np.float64(18760830.655039556), 'flask_count': 3, 'avg_confluence': np.float64(0.25014440873386073), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 1}, {'day': 4, 'total_cells': np.float64(33752174.12850455), 'flask_count': 3, 'avg_confluence': np.float64(0.4500289883800607), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 1}]"
2,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5466332.076843134), 'flask_count': 3, 'avg_confluence': np.float64(0.0728844276912418), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 2}, {'day': 2, 'total_cells': np.float64(10319498.480578065), 'flask_count': 3, 'avg_confluence': np.float64(0.13759331307437422), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 2}, {'day': 3, 'total_cells': np.float64(19262886.250976406), 'flask_count': 3, 'avg_confluence': np.float64(0.256838483346352), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 2}, {'day': 4, 'total_cells': np.float64(34583450.921090364), 'flask_count': 3, 'avg_confluence': np.float64(0.4611126789478715), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 2}]"
3,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5387422.132452389), 'flask_count': 3, 'avg_confluence': np.float64(0.07183229509936519), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 3}, {'day': 2, 'total_cells': np.float64(10170973.732968695), 'flask_count': 3, 'avg_confluence': np.float64(0.13561298310624928), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 3}, {'day': 3, 'total_cells': np.float64(18988708.060783453), 'flask_count': 3, 'avg_confluence': np.float64(0.2531827741437794), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 3}, {'day': 4, 'total_cells': np.float64(34112732.681271724), 'flask_count': 3, 'avg_confluence': np.float64(0.45483643575028965), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 3}]"
4,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5534242.409902878), 'flask_count': 3, 'avg_confluence': np.float64(0.07378989879870505), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 4}, {'day': 2, 'total_cells': np.float64(10445092.437378773), 'flask_count': 3, 'avg_confluence': np.float64(0.13926789916505034), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 4}, {'day': 3, 'total_cells': np.float64(19480352.167195495), 'flask_count': 3, 'avg_confluence': np.float64(0.2597380288959399), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 4}, {'day': 4, 'total_cells': np.float64(34875904.58619702), 'flask_count': 3, 'avg_confluence': np.float64(0.46501206114929367), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 4}]"
5,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5471341.954855749), 'flask_count': 3, 'avg_confluence': np.float64(0.07295122606474332), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 5}, {'day': 2, 'total_cells': np.float64(10328241.838635188), 'flask_count': 3, 'avg_confluence': np.float64(0.13770989118180252), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 5}, {'day': 3, 'total_cells': np.float64(19274610.96035163), 'flask_count': 3, 'avg_confluence': np.float64(0.25699481280468844), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 5}, {'day': 4, 'total_cells': np.float64(34579058.71443045), 'flask_count': 3, 'avg_confluence': np.float64(0.461054116192406), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 5}]"
6,4,30,6,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5801605.050857184), 'flask_count': 3, 'avg_confluence': np.float64(0.07735473401142912), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 6}, {'day': 2, 'total_cells': np.float64(10943734.286931671), 'flask_count': 3, 'avg_confluence': np.float64(0.14591645715908896), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 6}, {'day': 3, 'total_cells': np.float64(20371483.808318883), 'flask_count': 3, 'avg_confluence': np.float64(0.2716197841109184), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 6}, {'day': 4, 'total_cells': np.float64(36245926.47016491), 'flask_count': 3, 'avg_confluence': np.float64(0.4832790196021988), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 6}]"
7,4,30,3,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5279154.500283186), 'flask_count': 3, 'avg_confluence': np.float64(0.07038872667044248), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 7}, {'day': 2, 'total_cells': np.float64(9968915.41980163), 'flask_count': 3, 'avg_confluence': np.float64(0.13291887226402174), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 7}, {'day': 3, 'total_cells': np.float64(18626824.55874968), 'flask_count': 3, 'avg_confluence': np.float64(0.24835766078332908), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 7}, {'day': 4, 'total_cells': np.float64(33553744.3110992), 'flask_count': 3, 'avg_confluence': np.float64(0.4473832574813226), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 7}]"
8,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5409301.807661576), 'flask_count': 3, 'avg_confluence': np.float64(0.07212402410215435), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 8}, {'day': 2, 'total_cells': np.float64(10212342.423274845), 'flask_count': 3, 'avg_confluence': np.float64(0.13616456564366458), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 8}, {'day': 3, 'total_cells': np.float64(19066282.966249138), 'flask_count': 3, 'avg_confluence': np.float64(0.2542171062166551), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 8}, {'day': 4, 'total_cells': np.float64(34252766.09904607), 'flask_count': 3, 'avg_confluence': np.float64(0.4567035479872808), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 8}]"
9,4,30,5,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5587775.2926029125), 'flask_count': 3, 'avg_confluence': np.float64(0.07450367056803885), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 9}, {'day': 2, 'total_cells': np.float64(10544315.531182718), 'flask_count': 3, 'avg_confluence': np.float64(0.1405908737491029), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 9}, {'day': 3, 'total_cells': np.float64(19653738.18275958), 'flask_count': 3, 'avg_confluence': np.float64(0.26204984243679436), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 9}, {'day': 4, 'total_cells': np.float64(35121373.59168388), 'flask_count': 3, 'avg_confluence': np.float64(0.4682849812224517), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 9}]"
10,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5498579.0183333345), 'flask_count': 3, 'avg_confluence': np.float64(0.07331438691111113), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 10}, {'day': 2, 'total_cells': np.float64(10378007.695605222), 'flask_count': 3, 'avg_confluence': np.float64(0.13837343594140297), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 10}, {'day': 3, 'total_cells': np.float64(19356770.76606799), 'flask_count': 3, 'avg_confluence': np.float64(0.2580902768809065), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 10}, {'day': 4, 'total_cells': np.float64(34665023.99074168), 'flask_count': 3, 'avg_confluence': np.float64(0.46220031987655563), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 10}]"
11,4,30,5,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5553686.921535725), 'flask_count': 3, 'avg_confluence': np.float64(0.07404915895380967), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 11}, {'day': 2, 'total_cells': np.float64(10482721.368901785), 'flask_count': 3, 'avg_confluence': np.float64(0.1397696182520238), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 11}, {'day': 3, 'total_cells': np.float64(19556475.043742277), 'flask_count': 3, 'avg_confluence': np.float64(0.26075300058323037), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 11}, {'day': 4, 'total_cells': np.float64(35044184.20415285), 'flask_count': 3, 'avg_confluence': np.float64(0.4672557893887048), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 11}]"
12,4,30,6,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5784938.822094511), 'flask_count': 3, 'avg_confluence': np.float64(0.07713251762792683), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 12}, {'day': 2, 'total_cells': np.float64(10913182.934149228), 'flask_count': 3, 'avg_confluence': np.float64(0.1455091057886564), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 12}, {'day': 3, 'total_cells': np.float64(20320198.953663103), 'flask_count': 3, 'avg_confluence': np.float64(0.2709359860488414), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 12}, {'day': 4, 'total_cells': np.float64(36183383.07806827), 'flask_count': 3, 'avg_confluence': np.float64(0.48244510770757704), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 12}]"
13,4,30,3,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5214653.216463299), 'flask_count': 3, 'avg_confluence': np.float64(0.06952870955284397), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 13}, {'day': 2, 'total_cells': np.float64(9848362.240023647), 'flask_count': 3, 'avg_confluence': np.float64(0.13131149653364863), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 13}, {'day': 3, 'total_cells': np.float64(18409780.202677626), 'flask_count': 3, 'avg_confluence': np.float64(0.24546373603570168), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 13}, {'day': 4, 'total_cells': np.float64(33212035.06247522), 'flask_count': 3, 'avg_confluence': np.float64(0.4428271341663363), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 13}]"
14,4,30,5,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5648096.49055611), 'flask_count': 3, 'avg_confluence': np.float64(0.07530795320741479), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 14}, {'day': 2, 'total_cells': np.float64(10658422.874874746), 'flask_count': 3, 'avg_confluence': np.float64(0.14211230499832994), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 14}, {'day': 3, 'total_cells': np.float64(19867951.859185595), 'flask_count': 3, 'avg_confluence': np.float64(0.26490602478914127), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 14}, {'day': 4, 'total_cells': np.float64(35507012.17590892), 'flask_count': 3, 'avg_confluence': np.float64(0.4734268290121189), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 14}]"
15,4,30,5,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5593837.68476181), 'flask_count': 3, 'avg_confluence': np.float64(0.0745845024634908), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 15}, {'day': 2, 'total_cells': np.float64(10557549.70058936), 'flask_count': 3, 'avg_confluence': np.float64(0.1407673293411915), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 15}, {'day': 3, 'total_cells': np.float64(19689814.30413711), 'flask_count': 3, 'avg_confluence': np.float64(0.2625308573884948), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 15}, {'day': 4, 'total_cells': np.float64(35246285.14645693), 'flask_count': 3, 'avg_confluence': np.float64(0.46995046861942574), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 15}]"
16,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5531834.957474663), 'flask_count': 3, 'avg_confluence': np.float64(0.0737577994329955), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 16}, {'day': 2, 'total_cells': np.float64(10442090.124205524), 'flask_count': 3, 'avg_confluence': np.float64(0.13922786832274034), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 16}, {'day': 3, 'total_cells': np.float64(19484685.23559121), 'flask_count': 3, 'avg_confluence': np.float64(0.25979580314121614), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 16}, {'day': 4, 'total_cells': np.float64(34938940.91348679), 'flask_count': 3, 'avg_confluence': np.float64(0.46585254551315725), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 16}]"
17,4,30,9,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(6336468.095583278), 'flask_count': 3, 'avg_confluence': np.float64(0.08448624127444371), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 17}, {'day': 2, 'total_cells': np.float64(11943906.156891393), 'flask_count': 3, 'avg_confluence': np.float64(0.15925208209188524), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 17}, {'day': 3, 'total_cells': np.float64(22175515.98405732), 'flask_count': 3, 'avg_confluence': np.float64(0.2956735464540976), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 17}, {'day': 4, 'total_cells': np.float64(39105344.19157684), 'flask_count': 3, 'avg_confluence': np.float64(0.5214045892210245), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 17}]"
18,4,30,8,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(6143070.143578608), 'flask_count': 3, 'avg_confluence': np.float64(0.08190760191438141), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 18}, {'day': 2, 'total_cells': np.float64(11583805.73038132), 'flask_count': 3, 'avg_confluence': np.float64(0.1544507430717509), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 18}, {'day': 3, 'total_cells': np.float64(21535886.65044015), 'flask_count': 3, 'avg_confluence': np.float64(0.28714515533920193), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 18}, {'day': 4, 'total_cells': np.float64(38145447.807568096), 'flask_count': 3, 'avg_confluence': np.float64(0.5086059707675746), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 18}]"
19,4,30,7,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5932397.149808662), 'flask_count': 3, 'avg_confluence': np.float64(0.07909862866411548), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 19}, {'day': 2, 'total_cells': np.float64(11189856.019858852), 'flask_count': 3, 'avg_confluence': np.float64(0.14919808026478468), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 19}, {'day': 3, 'total_cells': np.float64(20825327.530478843), 'flask_count': 3, 'avg_confluence': np.float64(0.2776710337397179), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 19}, {'day': 4, 'total_cells': np.float64(37019612.81856528), 'flask_count': 3, 'avg_confluence': np.float64(0.49359483758087036), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 19}]"
20,4,30,5,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5630513.843857573), 'flask_count': 3, 'avg_confluence': np.float64(0.07507351791810098), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 20}, {'day': 2, 'total_cells': np.float64(10624444.172483334), 'flask_count': 3, 'avg_confluence': np.float64(0.1416592556331111), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 20}, {'day': 3, 'total_cells': np.float64(19799562.530442193), 'flask_count': 3, 'avg_confluence': np.float64(0.2639941670725626), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 20}, {'day': 4, 'total_cells': np.float64(35358658.6152952), 'flask_count': 3, 'avg_confluence': np.float64(0.4714487815372694), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 20}]"
21,4,30,6,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5767901.008772948), 'flask_count': 3, 'avg_confluence': np.float64(0.0769053467836393), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 21}, {'day': 2, 'total_cells': np.float64(10883408.665450398), 'flask_count': 3, 'avg_confluence': np.float64(0.14511211553933867), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 21}, {'day': 3, 'total_cells': np.float64(20279973.669152543), 'flask_count': 3, 'avg_confluence': np.float64(0.2703996489220339), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 21}, {'day': 4, 'total_cells': np.float64(36195701.15248649), 'flask_count': 3, 'avg_confluence': np.float64(0.4826093486998199), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 21}]"
22,4,30,5,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5570842.274803381), 'flask_count': 3, 'avg_confluence': np.float64(0.07427789699737841), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 22}, {'day': 2, 'total_cells': np.float64(10513812.22183054), 'flask_count': 3, 'avg_confluence': np.float64(0.14018416295774053), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 22}, {'day': 3, 'total_cells': np.float64(19606181.288015887), 'flask_count': 3, 'avg_confluence': np.float64(0.26141575050687854), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 22}, {'day': 4, 'total_cells': np.float64(35087363.59416916), 'flask_count': 3, 'avg_confluence': np.float64(0.4678315145889222), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 22}]"
23,4,30,6,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5898124.153128601), 'flask_count': 3, 'avg_confluence': np.float64(0.07864165537504801), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 23}, {'day': 2, 'total_cells': np.float64(11126739.038982473), 'flask_count': 3, 'avg_confluence': np.float64(0.1483565205197663), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 23}, {'day': 3, 'total_cells': np.float64(20717709.29321569), 'flask_count': 3, 'avg_confluence': np.float64(0.2762361239095425), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 23}, {'day': 4, 'total_cells': np.float64(36883103.97565693), 'flask_count': 3, 'avg_confluence': np.float64(0.4917747196754257), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 23}]"
24,4,30,6,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5895314.685774134), 'flask_count': 3, 'avg_confluence': np.float64(0.07860419581032178), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 24}, {'day': 2, 'total_cells': np.float64(11121489.458320346), 'flask_count': 3, 'avg_confluence': np.float64(0.14828652611093796), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 24}, {'day': 3, 'total_cells': np.float64(20708266.213651277), 'flask_count': 3, 'avg_confluence': np.float64(0.27611021618201703), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 24}, {'day': 4, 'total_cells': np.float64(36868277.988876075), 'flask_count': 3, 'avg_confluence': np.float64(0.491577039851681), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 24}]"
25,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5489817.150197301), 'flask_count': 3, 'avg_confluence': np.float64(0.07319756200263068), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 25}, {'day': 2, 'total_cells': np.float64(10363412.203943828), 'flask_count': 3, 'avg_confluence': np.float64(0.13817882938591772), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 25}, {'day': 3, 'total_cells': np.float64(19342080.573360257), 'flask_count': 3, 'avg_confluence': np.float64(0.25789440764480337), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 25}, {'day': 4, 'total_cells': np.float64(34708927.89057412), 'flask_count': 3, 'avg_confluence': np.float64(0.46278570520765494), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 25}]"
26,4,30,5,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5652263.7936810255), 'flask_count': 3, 'avg_confluence': np.float64(0.07536351724908034), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 26}, {'day': 2, 'total_cells': np.float64(10667065.074661344), 'flask_count': 3, 'avg_confluence': np.float64(0.14222753432881793), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 26}, {'day': 3, 'total_cells': np.float64(19889050.133852903), 'flask_count': 3, 'avg_confluence': np.float64(0.2651873351180387), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 26}, {'day': 4, 'total_cells': np.float64(35571947.5788749), 'flask_count': 3, 'avg_confluence': np.float64(0.47429263438499875), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 26}]"
27,4,30,7,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(6051486.322379978), 'flask_count': 3, 'avg_confluence': np.float64(0.08068648429839972), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 27}, {'day': 2, 'total_cells': np.float64(11412457.644436408), 'flask_count': 3, 'avg_confluence': np.float64(0.15216610192581878), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 27}, {'day': 3, 'total_cells': np.float64(21226248.78368363), 'flask_count': 3, 'avg_confluence': np.float64(0.28301665044911506), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 27}, {'day': 4, 'total_cells': np.float64(37651607.58107282), 'flask_count': 3, 'avg_confluence': np.float64(0.5020214344143042), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 27}]"
28,4,30,4,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5373517.249237623), 'flask_count': 3, 'avg_confluence': np.float64(0.07164689665650163), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 28}, {'day': 2, 'total_cells': np.float64(10145585.800901558), 'flask_count': 3, 'avg_confluence': np.float64(0.1352744773453541), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 28}, {'day': 3, 'total_cells': np.float64(18946898.046961088), 'flask_count': 3, 'avg_confluence': np.float64(0.25262530729281446), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 28}, {'day': 4, 'total_cells': np.float64(34069283.03160122), 'flask_count': 3, 'avg_confluence': np.float64(0.4542571070880163), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 28}]"
