day,incubator_usage,bsc_hours,staff_hours,active_campaigns,violations
0,0,0.0,0.0,0,[]
1,4,2.4000000000000004,2.6999999999999997,2,['BSC Overload: 2.4 > 2.0']
2,8,2.8000000000000003,3.4,4,['BSC Overload: 2.8 > 2.0']
3,12,3.2000000000000006,4.1,6,['BSC Overload: 3.2 > 2.0']
4,16,3.6000000000000005,4.799999999999999,8,['BSC Overload: 3.6 > 2.0']
5,17,3.7000000000000006,4.949999999999999,9,['BSC Overload: 3.7 > 2.0']
6,14,1.4000000000000001,2.3999999999999995,8,[]
7,11,1.1,1.8499999999999996,7,[]
8,7,0.7000000000000001,1.15,5,[]
9,3,0.30000000000000004,0.44999999999999996,3,[]
10,2,0.2,0.3,2,[]
11,1,0.1,0.15,1,[]
12,0,0.0,0.0,0,[]
13,0,0.0,0.0,0,[]
14,0,0.0,0.0,0,[]
15,0,0.0,0.0,0,[]
16,0,0.0,0.0,0,[]
17,0,0.0,0.0,0,[]
18,0,0.0,0.0,0,[]
19,0,0.0,0.0,0,[]
20,0,0.0,0.0,0,[]
21,0,0.0,0.0,0,[]
22,0,0.0,0.0,0,[]
23,0,0.0,0.0,0,[]
24,0,0.0,0.0,0,[]
25,0,0.0,0.0,0,[]
26,0,0.0,0.0,0,[]
27,0,0.0,0.0,0,[]
28,0,0.0,0.0,0,[]
29,0,0.0,0.0,0,[]
30,0,0.0,0.0,0,[]
31,0,0.0,0.0,0,[]
32,0,0.0,0.0,0,[]
33,0,0.0,0.0,0,[]
34,0,0.0,0.0,0,[]
35,0,0.0,0.0,0,[]
36,0,0.0,0.0,0,[]
37,0,0.0,0.0,0,[]
38,0,0.0,0.0,0,[]
39,0,0.0,0.0,0,[]
40,0,0.0,0.0,0,[]
41,0,0.0,0.0,0,[]
42,0,0.0,0.0,0,[]
43,0,0.0,0.0,0,[]
44,0,0.0,0.0,0,[]
45,0,0.0,0.0,0,[]
46,0,0.0,0.0,0,[]
47,0,0.0,0.0,0,[]
48,0,0.0,0.0,0,[]
49,0,0.0,0.0,0,[]
50,0,0.0,0.0,0,[]
51,0,0.0,0.0,0,[]
52,0,0.0,0.0,0,[]
53,0,0.0,0.0,0,[]
54,0,0.0,0.0,0,[]
55,0,0.0,0.0,0,[]
56,0,0.0,0.0,0,[]
57,0,0.0,0.0,0,[]
58,0,0.0,0.0,0,[]
59,0,0.0,0.0,0,[]
60,0,0.0,0.0,0,[]
