run_id,duration_days,final_vials,waste_vials,waste_cells,waste_vials_equivalent,waste_fraction,had_contamination,terminal_failure,failed_reason,total_media_l,failures,violations,daily_metrics
0,6,30,2,2000000.0,2.0,0.0625,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4531868.550164988), 'flask_count': 3, 'avg_confluence': np.float64(0.06042491400219984), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 0}, {'day': 2, 'total_cells': np.float64(6852293.042670073), 'flask_count': 3, 'avg_confluence': np.float64(0.09136390723560096), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 0}, {'day': 3, 'total_cells': np.float64(10328393.670572007), 'flask_count': 3, 'avg_confluence': np.float64(0.13771191560762677), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 0}, {'day': 4, 'total_cells': np.float64(15458035.009966247), 'flask_count': 3, 'avg_confluence': np.float64(0.20610713346621665), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 0}, {'day': 5, 'total_cells': np.float64(22776159.91652316), 'flask_count': 3, 'avg_confluence': np.float64(0.30368213222030876), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 0}, {'day': 6, 'total_cells': np.float64(32471507.278571427), 'flask_count': 3, 'avg_confluence': np.float64(0.43295343038095235), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 0}]"
1,6,30,5,5000000.0,5.0,0.14285714285714285,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(5070508.380345798), 'flask_count': 3, 'avg_confluence': np.float64(0.06760677840461064), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 1}, {'day': 2, 'total_cells': np.float64(7662613.883418459), 'flask_count': 3, 'avg_confluence': np.float64(0.10216818511224612), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 1}, {'day': 3, 'total_cells': np.float64(11535678.059605718), 'flask_count': 3, 'avg_confluence': np.float64(0.1538090407947429), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 1}, {'day': 4, 'total_cells': np.float64(17217561.53928548), 'flask_count': 3, 'avg_confluence': np.float64(0.22956748719047312), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 1}, {'day': 5, 'total_cells': np.float64(25216778.082698323), 'flask_count': 3, 'avg_confluence': np.float64(0.33622370776931093), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 1}, {'day': 6, 'total_cells': np.float64(35510387.469606265), 'flask_count': 3, 'avg_confluence': np.float64(0.4734718329280836), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 1}]"
2,6,30,3,3000000.0,3.0,0.09090909090909091,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4632916.067604266), 'flask_count': 3, 'avg_confluence': np.float64(0.061772214234723545), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 2}, {'day': 2, 'total_cells': np.float64(7004392.056726571), 'flask_count': 3, 'avg_confluence': np.float64(0.09339189408968762), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 2}, {'day': 3, 'total_cells': np.float64(10555293.325084455), 'flask_count': 3, 'avg_confluence': np.float64(0.14073724433445942), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 2}, {'day': 4, 'total_cells': np.float64(15789689.875862662), 'flask_count': 3, 'avg_confluence': np.float64(0.2105291983448355), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 2}, {'day': 5, 'total_cells': np.float64(23239238.259192973), 'flask_count': 3, 'avg_confluence': np.float64(0.309856510122573), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 2}, {'day': 6, 'total_cells': np.float64(33056573.16697524), 'flask_count': 3, 'avg_confluence': np.float64(0.4407543088930032), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 2}]"
3,6,30,1,1000000.0,1.0,0.03225806451612903,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4340566.393889432), 'flask_count': 3, 'avg_confluence': np.float64(0.05787421858519243), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 3}, {'day': 2, 'total_cells': np.float64(6564759.723169519), 'flask_count': 3, 'avg_confluence': np.float64(0.08753012964226026), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 3}, {'day': 3, 'total_cells': np.float64(9900883.234382158), 'flask_count': 3, 'avg_confluence': np.float64(0.1320117764584288), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 3}, {'day': 4, 'total_cells': np.float64(14837891.710288515), 'flask_count': 3, 'avg_confluence': np.float64(0.19783855613718024), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 3}, {'day': 5, 'total_cells': np.float64(21925069.777655452), 'flask_count': 3, 'avg_confluence': np.float64(0.2923342637020727), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 3}, {'day': 6, 'total_cells': np.float64(31436539.925889447), 'flask_count': 3, 'avg_confluence': np.float64(0.4191538656785259), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 3}]"
4,6,30,4,4000000.0,4.0,0.11764705882352941,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4878991.707319264), 'flask_count': 3, 'avg_confluence': np.float64(0.06505322276425685), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 4}, {'day': 2, 'total_cells': np.float64(7374554.703068201), 'flask_count': 3, 'avg_confluence': np.float64(0.09832739604090934), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 4}, {'day': 3, 'total_cells': np.float64(11106692.837558018), 'flask_count': 3, 'avg_confluence': np.float64(0.1480892378341069), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 4}, {'day': 4, 'total_cells': np.float64(16592984.604082141), 'flask_count': 3, 'avg_confluence': np.float64(0.22123979472109523), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 4}, {'day': 5, 'total_cells': np.float64(24352474.261148714), 'flask_count': 3, 'avg_confluence': np.float64(0.3246996568153162), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 4}, {'day': 6, 'total_cells': np.float64(34440070.2805157), 'flask_count': 3, 'avg_confluence': np.float64(0.4592009370735426), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 4}]"
5,6,30,0,0.0,0.0,0.0,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4245897.128017364), 'flask_count': 3, 'avg_confluence': np.float64(0.05661196170689819), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 5}, {'day': 2, 'total_cells': np.float64(6422067.534448944), 'flask_count': 3, 'avg_confluence': np.float64(0.08562756712598592), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 5}, {'day': 3, 'total_cells': np.float64(9687355.483529408), 'flask_count': 3, 'avg_confluence': np.float64(0.12916473978039208), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 5}, {'day': 4, 'total_cells': np.float64(14523587.602472352), 'flask_count': 3, 'avg_confluence': np.float64(0.1936478346996314), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 5}, {'day': 5, 'total_cells': np.float64(21479359.11316882), 'flask_count': 3, 'avg_confluence': np.float64(0.286391454842251), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 5}, {'day': 6, 'total_cells': np.float64(30854648.066385984), 'flask_count': 3, 'avg_confluence': np.float64(0.41139530755181314), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 5}]"
6,6,30,3,3000000.0,3.0,0.09090909090909091,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4659903.815287631), 'flask_count': 3, 'avg_confluence': np.float64(0.06213205087050175), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 6}, {'day': 2, 'total_cells': np.float64(7045297.315497663), 'flask_count': 3, 'avg_confluence': np.float64(0.09393729753996882), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 6}, {'day': 3, 'total_cells': np.float64(10617275.273205206), 'flask_count': 3, 'avg_confluence': np.float64(0.14156367030940276), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 6}, {'day': 4, 'total_cells': np.float64(15883443.760155613), 'flask_count': 3, 'avg_confluence': np.float64(0.21177925013540813), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 6}, {'day': 5, 'total_cells': np.float64(23379792.129044175), 'flask_count': 3, 'avg_confluence': np.float64(0.31173056172058894), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 6}, {'day': 6, 'total_cells': np.float64(33259289.181249), 'flask_count': 3, 'avg_confluence': np.float64(0.44345718908331994), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 6}]"
7,6,30,3,3000000.0,3.0,0.09090909090909091,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4657573.562698195), 'flask_count': 3, 'avg_confluence': np.float64(0.06210098083597593), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 7}, {'day': 2, 'total_cells': np.float64(7041663.93685404), 'flask_count': 3, 'avg_confluence': np.float64(0.09388885249138719), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 7}, {'day': 3, 'total_cells': np.float64(10611426.805462494), 'flask_count': 3, 'avg_confluence': np.float64(0.14148569073949993), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 7}, {'day': 4, 'total_cells': np.float64(15873480.060982674), 'flask_count': 3, 'avg_confluence': np.float64(0.21164640081310235), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 7}, {'day': 5, 'total_cells': np.float64(23361504.359525844), 'flask_count': 3, 'avg_confluence': np.float64(0.31148672479367795), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 7}, {'day': 6, 'total_cells': np.float64(33224495.408436194), 'flask_count': 3, 'avg_confluence': np.float64(0.4429932721124827), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 7}]"
8,6,30,4,4000000.0,4.0,0.11764705882352941,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4847031.591586366), 'flask_count': 3, 'avg_confluence': np.float64(0.06462708788781821), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 8}, {'day': 2, 'total_cells': np.float64(7326757.531668956), 'flask_count': 3, 'avg_confluence': np.float64(0.09769010042225275), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 8}, {'day': 3, 'total_cells': np.float64(11036441.545857444), 'flask_count': 3, 'avg_confluence': np.float64(0.14715255394476592), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 8}, {'day': 4, 'total_cells': np.float64(16493755.602810053), 'flask_count': 3, 'avg_confluence': np.float64(0.21991674137080072), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 8}, {'day': 5, 'total_cells': np.float64(24224470.639209714), 'flask_count': 3, 'avg_confluence': np.float64(0.32299294185612953), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 8}, {'day': 6, 'total_cells': np.float64(34305722.25885325), 'flask_count': 3, 'avg_confluence': np.float64(0.4574096301180433), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 8}]"
9,6,30,2,2000000.0,2.0,0.0625,False,False,,0.42,[],[],"[{'day': 1, 'total_cells': np.float64(4534979.763538853), 'flask_count': 3, 'avg_confluence': np.float64(0.06046639684718471), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 9}, {'day': 2, 'total_cells': np.float64(6857117.135055713), 'flask_count': 3, 'avg_confluence': np.float64(0.0914282284674095), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 9}, {'day': 3, 'total_cells': np.float64(10336069.925923439), 'flask_count': 3, 'avg_confluence': np.float64(0.13781426567897917), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 9}, {'day': 4, 'total_cells': np.float64(15470838.934909638), 'flask_count': 3, 'avg_confluence': np.float64(0.20627785246546185), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 9}, {'day': 5, 'total_cells': np.float64(22798924.322657123), 'flask_count': 3, 'avg_confluence': np.float64(0.30398565763542834), 'avg_viability': np.float64(0.98), 'media_consumed': 330.0, 'run_id': 9}, {'day': 6, 'total_cells': np.float64(32513268.83891395), 'flask_count': 3, 'avg_confluence': np.float64(0.43351025118551934), 'avg_viability': np.float64(0.98), 'media_consumed': 375.0, 'run_id': 9}]"
