day,total_cells,flask_count,avg_confluence,media_consumed,run_id
1,1364641.273225786,1,0.054585650929031435,65.0,0
2,2064408.3732244726,1,0.08257633492897891,65.0,0
3,3115223.5908703553,1,0.12460894363481421,65.0,0
4,4674392.201154713,1,0.1869756880461885,65.0,0
5,6925911.120521026,1,0.27703644482084105,65.0,0
6,9987000.936116993,1,0.39948003744467975,65.0,0
7,13646331.139221,1,0.54585324556884,65.0,0
1,1528822.9292643971,1,0.06115291717057589,65.0,1
2,2311637.8089029244,1,0.09246551235611698,65.0,1
3,3484374.922295377,1,0.1393749968918151,65.0,1
4,5215077.038761516,1,0.20860308155046065,65.0,1
5,7684189.096722836,1,0.30736756386891345,65.0,1
6,10953521.657484584,1,0.43814086629938337,65.0,1
7,14655328.728954533,1,0.5862131491581813,65.0,1
1,1180381.0404744903,1,0.04721524161897961,65.0,2
2,1786533.1747833737,1,0.07146132699133495,65.0,2
3,2698906.7908806223,1,0.10795627163522489,65.0,2
4,4059913.5457669296,1,0.1623965418306772,65.0,2
5,6049117.394316408,1,0.2419646957726563,65.0,2
6,8826472.177640919,1,0.35305888710563677,65.0,2
7,12337490.003297076,1,0.49349960013188304,65.0,2
1,1459472.6436184968,1,0.058378905744739876,65.0,3
2,2207253.114360691,1,0.08829012457442764,65.0,3
3,3328666.027977823,1,0.13314664111911292,65.0,3
4,4987525.103607712,1,0.1995010041443085,65.0,3
5,7366661.708915778,1,0.29466646835663113,65.0,3
6,10553205.951267602,1,0.4221282380507041,65.0,3
7,14246683.452390267,1,0.5698673380956106,65.0,3
1,1624135.393277681,1,0.06496541573110724,65.0,4
2,2454986.6540354053,1,0.09819946616141621,65.0,4
3,3697819.3401654908,1,0.14791277360661964,65.0,4
4,5525725.672805572,1,0.22102902691222287,65.0,4
5,8113719.7613104675,1,0.3245487904524187,65.0,4
6,11484489.327934094,1,0.45937957311736377,65.0,4
7,15176577.308657667,1,0.6070630923463066,65.0,4
1,1519068.4200757244,1,0.060762736803028974,65.0,5
2,2296959.625504511,1,0.09187838502018043,65.0,5
3,3462493.7400739915,1,0.13849974960295966,65.0,5
4,5183146.488905817,1,0.2073258595562327,65.0,5
5,7639777.686687654,1,0.3055911074675062,65.0,5
6,10897923.416195747,1,0.4359169366478299,65.0,5
7,14599370.415319938,1,0.5839748166127975,65.0,5
1,1432068.166858717,1,0.05728272667434869,65.0,6
2,2165986.0301296785,1,0.08663944120518714,65.0,6
3,3267045.834235398,1,0.1306818333694159,65.0,6
4,4897265.159885716,1,0.19589060639542863,65.0,6
5,7240059.246095454,1,0.28960236984381815,65.0,6
6,10391801.089189569,1,0.41567204356758275,65.0,6
7,14078185.750937887,1,0.5631274300375154,65.0,6
1,1447881.9401446928,1,0.05791527760578771,65.0,7
2,2189800.4800860896,1,0.08759201920344359,65.0,7
3,3302609.9400565033,1,0.13210439760226014,65.0,7
4,4949372.886949883,1,0.1979749154779953,65.0,7
5,7313192.316313531,1,0.29252769265254125,65.0,7
6,10485161.14118154,1,0.4194064456472616,65.0,7
7,14175907.816392174,1,0.567036312655687,65.0,7
1,1403176.2354621282,1,0.05612704941848513,65.0,8
2,2122468.0900472845,1,0.08489872360189138,65.0,8
3,3202027.1882414846,1,0.12808108752965938,65.0,8
4,4801902.432925732,1,0.19207609731702927,65.0,8
5,7105906.423180049,1,0.28423625692720195,65.0,8
6,10219677.966735834,1,0.40878711866943335,65.0,8
7,13896167.118742779,1,0.5558466847497111,65.0,8
1,1501850.2883529202,1,0.06007401153411681,65.0,9
2,2271047.1738792635,1,0.09084188695517054,65.0,9
3,3423854.017273785,1,0.1369541606909514,65.0,9
4,5126723.271076378,1,0.20506893084305514,65.0,9
5,7561183.614943172,1,0.3024473445977269,65.0,9
6,10799217.25894373,1,0.43196869035774915,65.0,9
7,14499389.009200541,1,0.5799755603680217,65.0,9
1,1642589.4687924185,1,0.06570357875169675,65.0,10
2,2482725.57421241,1,0.0993090229684964,65.0,10
3,3739068.5316947573,1,0.1495627412677903,65.0,10
4,5585583.3585903905,1,0.2234233343436156,65.0,10
5,8195942.435321087,1,0.32783769741284347,65.0,10
6,11584706.93550328,1,0.46338827742013117,65.0,10
7,15272258.16744208,1,0.6108903266976832,65.0,10
1,1775586.963743672,1,0.07102347854974687,65.0,11
2,2682479.151089873,1,0.10729916604359492,65.0,11
3,4035572.6756838434,1,0.16142290702735373,65.0,11
4,6014082.448113827,1,0.24056329792455308,65.0,11
5,8779208.420494953,1,0.35116833681979814,65.0,11
6,12282046.915245205,1,0.4912818766098082,65.0,11
7,15913795.93579868,1,0.6365518374319472,65.0,11
1,1563415.0301905477,1,0.0625366012076219,65.0,12
2,2363679.4742672914,1,0.09454717897069166,65.0,12
3,3561917.1053985883,1,0.14247668421594353,65.0,12
4,5328107.02362542,1,0.21312428094501681,65.0,12
5,7841012.582200769,1,0.3136405032880308,65.0,12
6,11148809.492428472,1,0.4459523796971389,65.0,12
7,14849822.976366214,1,0.5939929190546486,65.0,12
1,1816324.4992026559,1,0.07265297996810624,65.0,13
2,2743606.2005708134,1,0.10974424802283253,65.0,13
3,4126110.21608972,1,0.1650444086435888,65.0,13
4,6144285.187995872,1,0.2457714075198349,65.0,13
5,8954524.469391897,1,0.3581809787756759,65.0,13
6,12486883.594506724,1,0.499475343780269,65.0,13
7,16094079.556547629,1,0.6437631822619051,65.0,13
1,1664738.7852009875,1,0.0665895514080395,65.0,14
2,2516011.974347963,1,0.10064047897391852,65.0,14
3,3788543.5026745284,1,0.15154174010698113,65.0,14
4,5657300.171597265,1,0.2262920068638906,65.0,14
5,8294219.073492698,1,0.3317687629397079,65.0,14
6,11703880.573625863,1,0.4681552229450345,65.0,14
7,15384906.999068685,1,0.6153962799627474,65.0,14
1,1576129.7701084642,1,0.06304519080433857,65.0,15
2,2382803.603395276,1,0.09531214413581103,65.0,15
3,3590397.101524742,1,0.14361588406098968,65.0,15
4,5369571.596154969,1,0.21478286384619877,65.0,15
5,7898389.64389574,1,0.3159355857558296,65.0,15
6,11219851.702350812,1,0.4487940680940325,65.0,15
7,14919777.275598016,1,0.5967910910239206,65.0,15
1,1583812.5211171126,1,0.06335250084468451,65.0,16
