run_id,duration_days,final_vials,waste_vials,waste_cells,waste_vials_equivalent,waste_fraction,had_contamination,terminal_failure,failed_reason,total_media_l,failures,violations,daily_metrics
0,4,30,5,5000000.0,5.0,0.14285714285714285,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5667710.9521745015), 'flask_count': 3, 'avg_confluence': np.float64(0.07556947936232668), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 0}, {'day': 2, 'total_cells': np.float64(10694856.447211673), 'flask_count': 3, 'avg_confluence': np.float64(0.1425980859628223), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 0}, {'day': 3, 'total_cells': np.float64(19932133.51382923), 'flask_count': 3, 'avg_confluence': np.float64(0.26576178018438973), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 0}, {'day': 4, 'total_cells': np.float64(35601003.71434802), 'flask_count': 3, 'avg_confluence': np.float64(0.4746800495246403), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 0}]"
1,4,30,6,6000000.0,6.0,0.16666666666666666,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5871179.634248186), 'flask_count': 3, 'avg_confluence': np.float64(0.07828239512330916), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 1}, {'day': 2, 'total_cells': np.float64(11075149.837174451), 'flask_count': 3, 'avg_confluence': np.float64(0.14766866449565938), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 1}, {'day': 3, 'total_cells': np.float64(20616928.978213966), 'flask_count': 3, 'avg_confluence': np.float64(0.27489238637618624), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 1}, {'day': 4, 'total_cells': np.float64(36680805.32606706), 'flask_count': 3, 'avg_confluence': np.float64(0.4890774043475609), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 1}]"
2,4,30,5,5000000.0,5.0,0.14285714285714285,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5611633.231863831), 'flask_count': 3, 'avg_confluence': np.float64(0.07482177642485109), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 2}, {'day': 2, 'total_cells': np.float64(10589860.426076585), 'flask_count': 3, 'avg_confluence': np.float64(0.14119813901435446), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 2}, {'day': 3, 'total_cells': np.float64(19741871.352842882), 'flask_count': 3, 'avg_confluence': np.float64(0.2632249513712384), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 2}, {'day': 4, 'total_cells': np.float64(35294105.014754996), 'flask_count': 3, 'avg_confluence': np.float64(0.47058806686339993), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 2}]"
3,4,30,4,4000000.0,4.0,0.11764705882352941,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5474440.741046896), 'flask_count': 3, 'avg_confluence': np.float64(0.07299254321395864), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 3}, {'day': 2, 'total_cells': np.float64(10334711.94899544), 'flask_count': 3, 'avg_confluence': np.float64(0.1377961593199392), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 3}, {'day': 3, 'total_cells': np.float64(19290655.564472772), 'flask_count': 3, 'avg_confluence': np.float64(0.257208740859637), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 3}, {'day': 4, 'total_cells': np.float64(34629346.5781157), 'flask_count': 3, 'avg_confluence': np.float64(0.4617246210415427), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 3}]"
4,4,30,4,4000000.0,4.0,0.11764705882352941,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5413053.980611701), 'flask_count': 3, 'avg_confluence': np.float64(0.07217405307482266), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 4}, {'day': 2, 'total_cells': np.float64(10219891.754767377), 'flask_count': 3, 'avg_confluence': np.float64(0.13626522339689837), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 4}, {'day': 3, 'total_cells': np.float64(19083357.605511457), 'flask_count': 3, 'avg_confluence': np.float64(0.25444476807348604), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 4}, {'day': 4, 'total_cells': np.float64(34299612.18482359), 'flask_count': 3, 'avg_confluence': np.float64(0.45732816246431457), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 4}]"
5,4,30,6,6000000.0,6.0,0.16666666666666666,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5861119.451597157), 'flask_count': 3, 'avg_confluence': np.float64(0.07814825935462875), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 5}, {'day': 2, 'total_cells': np.float64(11056111.981334366), 'flask_count': 3, 'avg_confluence': np.float64(0.14741482641779155), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 5}, {'day': 3, 'total_cells': np.float64(20581156.245749313), 'flask_count': 3, 'avg_confluence': np.float64(0.27441541660999086), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 5}, {'day': 4, 'total_cells': np.float64(36616499.200903535), 'flask_count': 3, 'avg_confluence': np.float64(0.4882199893453805), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 5}]"
6,4,30,7,7000000.0,7.0,0.1891891891891892,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5927131.14160982), 'flask_count': 3, 'avg_confluence': np.float64(0.07902841522146427), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 6}, {'day': 2, 'total_cells': np.float64(11180391.273929486), 'flask_count': 3, 'avg_confluence': np.float64(0.14907188365239313), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 6}, {'day': 3, 'total_cells': np.float64(20810702.605573334), 'flask_count': 3, 'avg_confluence': np.float64(0.2774760347409778), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 6}, {'day': 4, 'total_cells': np.float64(37009756.3417753), 'flask_count': 3, 'avg_confluence': np.float64(0.4934634178903374), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 6}]"
7,4,30,5,5000000.0,5.0,0.14285714285714285,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5651547.566469087), 'flask_count': 3, 'avg_confluence': np.float64(0.07535396755292116), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 7}, {'day': 2, 'total_cells': np.float64(10665924.180163603), 'flask_count': 3, 'avg_confluence': np.float64(0.14221232240218137), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 7}, {'day': 3, 'total_cells': np.float64(19888276.471841432), 'flask_count': 3, 'avg_confluence': np.float64(0.2651770196245524), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 7}, {'day': 4, 'total_cells': np.float64(35578004.47469101), 'flask_count': 3, 'avg_confluence': np.float64(0.47437339299588016), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 7}]"
8,4,30,6,6000000.0,6.0,0.16666666666666666,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5823881.162810033), 'flask_count': 3, 'avg_confluence': np.float64(0.0776517488374671), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 8}, {'day': 2, 'total_cells': np.float64(10987762.02919294), 'flask_count': 3, 'avg_confluence': np.float64(0.14650349372257251), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 8}, {'day': 3, 'total_cells': np.float64(20466092.83800137), 'flask_count': 3, 'avg_confluence': np.float64(0.27288123784001833), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 8}, {'day': 4, 'total_cells': np.float64(36479004.54967857), 'flask_count': 3, 'avg_confluence': np.float64(0.48638672732904764), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 8}]"
9,4,30,7,7000000.0,7.0,0.1891891891891892,False,False,,0.33,[],[],"[{'day': 1, 'total_cells': np.float64(5982806.703635034), 'flask_count': 3, 'avg_confluence': np.float64(0.07977075604846712), 'avg_viability': np.float64(0.98), 'media_consumed': 150.0, 'run_id': 9}, {'day': 2, 'total_cells': np.float64(11283684.774698792), 'flask_count': 3, 'avg_confluence': np.float64(0.15044913032931723), 'avg_viability': np.float64(0.98), 'media_consumed': 195.0, 'run_id': 9}, {'day': 3, 'total_cells': np.float64(20991791.143068146), 'flask_count': 3, 'avg_confluence': np.float64(0.27989054857424195), 'avg_viability': np.float64(0.98), 'media_consumed': 240.0, 'run_id': 9}, {'day': 4, 'total_cells': np.float64(37268441.83162164), 'flask_count': 3, 'avg_confluence': np.float64(0.49691255775495513), 'avg_viability': np.float64(0.98), 'media_consumed': 285.0, 'run_id': 9}]"
