run_id,duration_days,final_vials,waste_vials,waste_cells,waste_vials_equivalent,waste_fraction,had_contamination,terminal_failure,failed_reason,total_media_l,max_passage,failures,violations,daily_metrics
0,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1706769.2960010266), 'flask_count': 1, 'avg_confluence': np.float64(0.06827077184004107), 'media_consumed': 65.0, 'run_id': 0}, {'day': 2, 'total_cells': np.float64(3223860.3301196154), 'flask_count': 1, 'avg_confluence': np.float64(0.12895441320478462), 'media_consumed': 65.0, 'run_id': 0}, {'day': 3, 'total_cells': np.float64(6029524.694899782), 'flask_count': 1, 'avg_confluence': np.float64(0.24118098779599126), 'media_consumed': 65.0, 'run_id': 0}, {'day': 4, 'total_cells': np.float64(10896441.940907674), 'flask_count': 1, 'avg_confluence': np.float64(0.43585767763630695), 'media_consumed': 65.0, 'run_id': 0}, {'day': 5, 'total_cells': np.float64(17660050.340211276), 'flask_count': 1, 'avg_confluence': np.float64(0.706402013608451), 'media_consumed': 65.0, 'run_id': 0}, {'day': 6, 'total_cells': np.float64(22172307.464852344), 'flask_count': 1, 'avg_confluence': np.float64(0.8868922985940938), 'media_consumed': 65.0, 'run_id': 0}]"
1,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1832754.523056561), 'flask_count': 1, 'avg_confluence': np.float64(0.07331018092226244), 'media_consumed': 65.0, 'run_id': 1}, {'day': 2, 'total_cells': np.float64(3459789.5367660346), 'flask_count': 1, 'avg_confluence': np.float64(0.13839158147064137), 'media_consumed': 65.0, 'run_id': 1}, {'day': 3, 'total_cells': np.float64(6457303.95973175), 'flask_count': 1, 'avg_confluence': np.float64(0.25829215838927), 'media_consumed': 65.0, 'run_id': 1}, {'day': 4, 'total_cells': np.float64(11587403.773402397), 'flask_count': 1, 'avg_confluence': np.float64(0.46349615093609586), 'media_consumed': 65.0, 'run_id': 1}, {'day': 5, 'total_cells': np.float64(18398149.64453597), 'flask_count': 1, 'avg_confluence': np.float64(0.7359259857814388), 'media_consumed': 65.0, 'run_id': 1}, {'day': 6, 'total_cells': np.float64(22300427.05351256), 'flask_count': 1, 'avg_confluence': np.float64(0.8920170821405023), 'media_consumed': 65.0, 'run_id': 1}]"
2,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1834755.8970798494), 'flask_count': 1, 'avg_confluence': np.float64(0.07339023588319397), 'media_consumed': 65.0, 'run_id': 2}, {'day': 2, 'total_cells': np.float64(3463534.030695886), 'flask_count': 1, 'avg_confluence': np.float64(0.13854136122783545), 'media_consumed': 65.0, 'run_id': 2}, {'day': 3, 'total_cells': np.float64(6464071.098629583), 'flask_count': 1, 'avg_confluence': np.float64(0.2585628439451833), 'media_consumed': 65.0, 'run_id': 2}, {'day': 4, 'total_cells': np.float64(11598206.415192254), 'flask_count': 1, 'avg_confluence': np.float64(0.46392825660769016), 'media_consumed': 65.0, 'run_id': 2}, {'day': 5, 'total_cells': np.float64(18409205.371634126), 'flask_count': 1, 'avg_confluence': np.float64(0.7363682148653651), 'media_consumed': 65.0, 'run_id': 2}, {'day': 6, 'total_cells': np.float64(22301827.27799169), 'flask_count': 1, 'avg_confluence': np.float64(0.8920730911196676), 'media_consumed': 65.0, 'run_id': 2}]"
3,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(2096406.4906222317), 'flask_count': 1, 'avg_confluence': np.float64(0.08385625962488927), 'media_consumed': 65.0, 'run_id': 3}, {'day': 2, 'total_cells': np.float64(3952083.650621163), 'flask_count': 1, 'avg_confluence': np.float64(0.15808334602484653), 'media_consumed': 65.0, 'run_id': 3}, {'day': 3, 'total_cells': np.float64(7340621.27232595), 'flask_count': 1, 'avg_confluence': np.float64(0.29362485089303797), 'media_consumed': 65.0, 'run_id': 3}, {'day': 4, 'total_cells': np.float64(12961951.458490439), 'flask_count': 1, 'avg_confluence': np.float64(0.5184780583396176), 'media_consumed': 65.0, 'run_id': 3}, {'day': 5, 'total_cells': np.float64(19682722.041500416), 'flask_count': 1, 'avg_confluence': np.float64(0.7873088816600167), 'media_consumed': 65.0, 'run_id': 3}, {'day': 6, 'total_cells': np.float64(22363492.227741946), 'flask_count': 1, 'avg_confluence': np.float64(0.8945396891096778), 'media_consumed': 65.0, 'run_id': 3}]"
4,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(2055993.874812474), 'flask_count': 1, 'avg_confluence': np.float64(0.08223975499249896), 'media_consumed': 65.0, 'run_id': 4}, {'day': 2, 'total_cells': np.float64(3876758.8934432482), 'flask_count': 1, 'avg_confluence': np.float64(0.15507035573772993), 'media_consumed': 65.0, 'run_id': 4}, {'day': 3, 'total_cells': np.float64(7206328.290759107), 'flask_count': 1, 'avg_confluence': np.float64(0.28825313163036426), 'media_consumed': 65.0, 'run_id': 4}, {'day': 4, 'total_cells': np.float64(12757723.598345079), 'flask_count': 1, 'avg_confluence': np.float64(0.5103089439338031), 'media_consumed': 65.0, 'run_id': 4}, {'day': 5, 'total_cells': np.float64(19507590.04184962), 'flask_count': 1, 'avg_confluence': np.float64(0.7803036016739848), 'media_consumed': 65.0, 'run_id': 4}, {'day': 6, 'total_cells': np.float64(22366526.30681958), 'flask_count': 1, 'avg_confluence': np.float64(0.8946610522727833), 'media_consumed': 65.0, 'run_id': 4}]"
5,6,0,12,12000000.0,12.0,1.0,False,True,QC FAILURE: Mycoplasma Test (pcr) - flask_t75_sample,0.07,3,[],[],"[{'day': 1, 'total_cells': np.float64(1772924.3885389226), 'flask_count': 1, 'avg_confluence': np.float64(0.0709169755415569), 'media_consumed': 65.0, 'run_id': 5}, {'day': 2, 'total_cells': np.float64(3347799.5682009663), 'flask_count': 1, 'avg_confluence': np.float64(0.13391198272803864), 'media_consumed': 65.0, 'run_id': 5}, {'day': 3, 'total_cells': np.float64(6254587.843063323), 'flask_count': 1, 'avg_confluence': np.float64(0.2501835137225329), 'media_consumed': 65.0, 'run_id': 5}, {'day': 4, 'total_cells': np.float64(11261936.091821373), 'flask_count': 1, 'avg_confluence': np.float64(0.4504774436728549), 'media_consumed': 65.0, 'run_id': 5}, {'day': 5, 'total_cells': np.float64(18058040.87999862), 'flask_count': 1, 'avg_confluence': np.float64(0.7223216351999449), 'media_consumed': 65.0, 'run_id': 5}, {'day': 6, 'total_cells': np.float64(22249907.64788838), 'flask_count': 1, 'avg_confluence': np.float64(0.8899963059155352), 'media_consumed': 65.0, 'run_id': 5}]"
6,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1904102.6749099307), 'flask_count': 1, 'avg_confluence': np.float64(0.07616410699639722), 'media_consumed': 65.0, 'run_id': 6}, {'day': 2, 'total_cells': np.float64(3593210.611567278), 'flask_count': 1, 'avg_confluence': np.float64(0.14372842446269113), 'media_consumed': 65.0, 'run_id': 6}, {'day': 3, 'total_cells': np.float64(6697981.836069396), 'flask_count': 1, 'avg_confluence': np.float64(0.26791927344277583), 'media_consumed': 65.0, 'run_id': 6}, {'day': 4, 'total_cells': np.float64(11969089.285268128), 'flask_count': 1, 'avg_confluence': np.float64(0.4787635714107251), 'media_consumed': 65.0, 'run_id': 6}, {'day': 5, 'total_cells': np.float64(18779633.210485402), 'flask_count': 1, 'avg_confluence': np.float64(0.7511853284194161), 'media_consumed': 65.0, 'run_id': 6}, {'day': 6, 'total_cells': np.float64(22340020.448955677), 'flask_count': 1, 'avg_confluence': np.float64(0.8936008179582271), 'media_consumed': 65.0, 'run_id': 6}]"
7,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1791059.0866995302), 'flask_count': 1, 'avg_confluence': np.float64(0.07164236346798121), 'media_consumed': 65.0, 'run_id': 7}, {'day': 2, 'total_cells': np.float64(3381754.22882516), 'flask_count': 1, 'avg_confluence': np.float64(0.13527016915300638), 'media_consumed': 65.0, 'run_id': 7}, {'day': 3, 'total_cells': np.float64(6316116.079435974), 'flask_count': 1, 'avg_confluence': np.float64(0.25264464317743895), 'media_consumed': 65.0, 'run_id': 7}, {'day': 4, 'total_cells': np.float64(11361100.73351133), 'flask_count': 1, 'avg_confluence': np.float64(0.45444402934045325), 'media_consumed': 65.0, 'run_id': 7}, {'day': 5, 'total_cells': np.float64(18163101.13211699), 'flask_count': 1, 'avg_confluence': np.float64(0.7265240452846795), 'media_consumed': 65.0, 'run_id': 7}, {'day': 6, 'total_cells': np.float64(22267057.27720856), 'flask_count': 1, 'avg_confluence': np.float64(0.8906822910883424), 'media_consumed': 65.0, 'run_id': 7}]"
8,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1926785.8536923279), 'flask_count': 1, 'avg_confluence': np.float64(0.07707143414769312), 'media_consumed': 65.0, 'run_id': 8}, {'day': 2, 'total_cells': np.float64(3635598.1221917327), 'flask_count': 1, 'avg_confluence': np.float64(0.1454239248876693), 'media_consumed': 65.0, 'run_id': 8}, {'day': 3, 'total_cells': np.float64(6774250.400263768), 'flask_count': 1, 'avg_confluence': np.float64(0.2709700160105507), 'media_consumed': 65.0, 'run_id': 8}, {'day': 4, 'total_cells': np.float64(12088947.028868627), 'flask_count': 1, 'avg_confluence': np.float64(0.4835578811547451), 'media_consumed': 65.0, 'run_id': 8}, {'day': 5, 'total_cells': np.float64(18895525.562479377), 'flask_count': 1, 'avg_confluence': np.float64(0.755821022499175), 'media_consumed': 65.0, 'run_id': 8}, {'day': 6, 'total_cells': np.float64(22348515.474296052), 'flask_count': 1, 'avg_confluence': np.float64(0.8939406189718421), 'media_consumed': 65.0, 'run_id': 8}]"
9,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1912459.715136493), 'flask_count': 1, 'avg_confluence': np.float64(0.07649838860545972), 'media_consumed': 65.0, 'run_id': 9}, {'day': 2, 'total_cells': np.float64(3608828.9213754926), 'flask_count': 1, 'avg_confluence': np.float64(0.1443531568550197), 'media_consumed': 65.0, 'run_id': 9}, {'day': 3, 'total_cells': np.float64(6726095.160022583), 'flask_count': 1, 'avg_confluence': np.float64(0.2690438064009033), 'media_consumed': 65.0, 'run_id': 9}, {'day': 4, 'total_cells': np.float64(12013331.97574123), 'flask_count': 1, 'avg_confluence': np.float64(0.4805332790296492), 'media_consumed': 65.0, 'run_id': 9}, {'day': 5, 'total_cells': np.float64(18822630.196378067), 'flask_count': 1, 'avg_confluence': np.float64(0.7529052078551227), 'media_consumed': 65.0, 'run_id': 9}, {'day': 6, 'total_cells': np.float64(22343363.098181333), 'flask_count': 1, 'avg_confluence': np.float64(0.8937345239272534), 'media_consumed': 65.0, 'run_id': 9}]"
