run_id,duration_days,final_vials,waste_vials,waste_cells,waste_vials_equivalent,waste_fraction,had_contamination,terminal_failure,failed_reason,total_media_l,max_passage,failures,violations,daily_metrics
0,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1769772.3706885658), 'flask_count': 1, 'avg_confluence': np.float64(0.07079089482754262), 'media_consumed': 65.0, 'run_id': 0}, {'day': 2, 'total_cells': np.float64(3341896.969193518), 'flask_count': 1, 'avg_confluence': np.float64(0.13367587876774073), 'media_consumed': 65.0, 'run_id': 0}, {'day': 3, 'total_cells': np.float64(6243886.124627173), 'flask_count': 1, 'avg_confluence': np.float64(0.24975544498508692), 'media_consumed': 65.0, 'run_id': 0}, {'day': 4, 'total_cells': np.float64(11244654.796445087), 'flask_count': 1, 'avg_confluence': np.float64(0.44978619185780344), 'media_consumed': 65.0, 'run_id': 0}, {'day': 5, 'total_cells': np.float64(18039604.030419387), 'flask_count': 1, 'avg_confluence': np.float64(0.7215841612167755), 'media_consumed': 65.0, 'run_id': 0}, {'day': 6, 'total_cells': np.float64(22246755.067883603), 'flask_count': 1, 'avg_confluence': np.float64(0.8898702027153441), 'media_consumed': 65.0, 'run_id': 0}]"
1,5,10,10,10000000.0,10.0,0.5,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(2191639.0803537774), 'flask_count': 1, 'avg_confluence': np.float64(0.0876655632141511), 'media_consumed': 65.0, 'run_id': 1}, {'day': 2, 'total_cells': np.float64(4129383.5209165444), 'flask_count': 1, 'avg_confluence': np.float64(0.16517534083666177), 'media_consumed': 65.0, 'run_id': 1}, {'day': 3, 'total_cells': np.float64(7655424.658159143), 'flask_count': 1, 'avg_confluence': np.float64(0.30621698632636574), 'media_consumed': 65.0, 'run_id': 1}, {'day': 4, 'total_cells': np.float64(13433728.06166247), 'flask_count': 1, 'avg_confluence': np.float64(0.5373491224664988), 'media_consumed': 65.0, 'run_id': 1}, {'day': 5, 'total_cells': np.float64(20066049.95906952), 'flask_count': 1, 'avg_confluence': np.float64(0.8026419983627808), 'media_consumed': 65.0, 'run_id': 1}]"
2,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1781764.8537949359), 'flask_count': 1, 'avg_confluence': np.float64(0.07127059415179743), 'media_consumed': 65.0, 'run_id': 2}, {'day': 2, 'total_cells': np.float64(3364353.1839256864), 'flask_count': 1, 'avg_confluence': np.float64(0.13457412735702745), 'media_consumed': 65.0, 'run_id': 2}, {'day': 3, 'total_cells': np.float64(6284591.268863715), 'flask_count': 1, 'avg_confluence': np.float64(0.2513836507545486), 'media_consumed': 65.0, 'run_id': 2}, {'day': 4, 'total_cells': np.float64(11310333.362367485), 'flask_count': 1, 'avg_confluence': np.float64(0.4524133344946994), 'media_consumed': 65.0, 'run_id': 2}, {'day': 5, 'total_cells': np.float64(18109472.072820954), 'flask_count': 1, 'avg_confluence': np.float64(0.7243788829128381), 'media_consumed': 65.0, 'run_id': 2}, {'day': 6, 'total_cells': np.float64(22258476.17881226), 'flask_count': 1, 'avg_confluence': np.float64(0.8903390471524905), 'media_consumed': 65.0, 'run_id': 2}]"
3,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1751353.9599188357), 'flask_count': 1, 'avg_confluence': np.float64(0.07005415839675343), 'media_consumed': 65.0, 'run_id': 3}, {'day': 2, 'total_cells': np.float64(3307400.655204884), 'flask_count': 1, 'avg_confluence': np.float64(0.13229602620819536), 'media_consumed': 65.0, 'run_id': 3}, {'day': 3, 'total_cells': np.float64(6181308.43948168), 'flask_count': 1, 'avg_confluence': np.float64(0.2472523375792672), 'media_consumed': 65.0, 'run_id': 3}, {'day': 4, 'total_cells': np.float64(11143406.393890193), 'flask_count': 1, 'avg_confluence': np.float64(0.4457362557556077), 'media_consumed': 65.0, 'run_id': 3}, {'day': 5, 'total_cells': np.float64(17930823.304975305), 'flask_count': 1, 'avg_confluence': np.float64(0.7172329321990122), 'media_consumed': 65.0, 'run_id': 3}, {'day': 6, 'total_cells': np.float64(22227282.52516955), 'flask_count': 1, 'avg_confluence': np.float64(0.889091301006782), 'media_consumed': 65.0, 'run_id': 3}]"
4,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1860146.6466814694), 'flask_count': 1, 'avg_confluence': np.float64(0.07440586586725878), 'media_consumed': 65.0, 'run_id': 4}, {'day': 2, 'total_cells': np.float64(3511029.583037661), 'flask_count': 1, 'avg_confluence': np.float64(0.14044118332150643), 'media_consumed': 65.0, 'run_id': 4}, {'day': 3, 'total_cells': np.float64(6549844.2202773625), 'flask_count': 1, 'avg_confluence': np.float64(0.2619937688110945), 'media_consumed': 65.0, 'run_id': 4}, {'day': 4, 'total_cells': np.float64(11734776.501233451), 'flask_count': 1, 'avg_confluence': np.float64(0.46939106004933806), 'media_consumed': 65.0, 'run_id': 4}, {'day': 5, 'total_cells': np.float64(18547678.078187443), 'flask_count': 1, 'avg_confluence': np.float64(0.7419071231274977), 'media_consumed': 65.0, 'run_id': 4}, {'day': 6, 'total_cells': np.float64(22318082.9235652), 'flask_count': 1, 'avg_confluence': np.float64(0.8927233169426081), 'media_consumed': 65.0, 'run_id': 4}]"
5,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1777259.9883197204), 'flask_count': 1, 'avg_confluence': np.float64(0.07109039953278881), 'media_consumed': 65.0, 'run_id': 5}, {'day': 2, 'total_cells': np.float64(3355918.1617748505), 'flask_count': 1, 'avg_confluence': np.float64(0.13423672647099402), 'media_consumed': 65.0, 'run_id': 5}, {'day': 3, 'total_cells': np.float64(6269304.47839314), 'flask_count': 1, 'avg_confluence': np.float64(0.25077217913572564), 'media_consumed': 65.0, 'run_id': 5}, {'day': 4, 'total_cells': np.float64(11285684.600982865), 'flask_count': 1, 'avg_confluence': np.float64(0.4514273840393146), 'media_consumed': 65.0, 'run_id': 5}, {'day': 5, 'total_cells': np.float64(18083315.401560888), 'flask_count': 1, 'avg_confluence': np.float64(0.7233326160624355), 'media_consumed': 65.0, 'run_id': 5}, {'day': 6, 'total_cells': np.float64(22254159.960568156), 'flask_count': 1, 'avg_confluence': np.float64(0.8901663984227263), 'media_consumed': 65.0, 'run_id': 5}]"
6,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1887615.4345245596), 'flask_count': 1, 'avg_confluence': np.float64(0.07550461738098238), 'media_consumed': 65.0, 'run_id': 6}, {'day': 2, 'total_cells': np.float64(3562392.118650114), 'flask_count': 1, 'avg_confluence': np.float64(0.14249568474600458), 'media_consumed': 65.0, 'run_id': 6}, {'day': 3, 'total_cells': np.float64(6642470.2934169825), 'flask_count': 1, 'avg_confluence': np.float64(0.2656988117366793), 'media_consumed': 65.0, 'run_id': 6}, {'day': 4, 'total_cells': np.float64(11881517.874962628), 'flask_count': 1, 'avg_confluence': np.float64(0.47526071499850514), 'media_consumed': 65.0, 'run_id': 6}, {'day': 5, 'total_cells': np.float64(18693776.615914986), 'flask_count': 1, 'avg_confluence': np.float64(0.7477510646365995), 'media_consumed': 65.0, 'run_id': 6}, {'day': 6, 'total_cells': np.float64(22332669.89817472), 'flask_count': 1, 'avg_confluence': np.float64(0.8933067959269889), 'media_consumed': 65.0, 'run_id': 6}]"
7,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(2008567.527613844), 'flask_count': 1, 'avg_confluence': np.float64(0.08034270110455376), 'media_consumed': 65.0, 'run_id': 7}, {'day': 2, 'total_cells': np.float64(3788297.55799511), 'flask_count': 1, 'avg_confluence': np.float64(0.1515319023198044), 'media_consumed': 65.0, 'run_id': 7}, {'day': 3, 'total_cells': np.float64(7048206.557962801), 'flask_count': 1, 'avg_confluence': np.float64(0.28192826231851204), 'media_consumed': 65.0, 'run_id': 7}, {'day': 4, 'total_cells': np.float64(12515027.455989087), 'flask_count': 1, 'avg_confluence': np.float64(0.5006010982395634), 'media_consumed': 65.0, 'run_id': 7}, {'day': 5, 'total_cells': np.float64(19292284.47114074), 'flask_count': 1, 'avg_confluence': np.float64(0.7716913788456295), 'media_consumed': 65.0, 'run_id': 7}, {'day': 6, 'total_cells': np.float64(22365297.180869833), 'flask_count': 1, 'avg_confluence': np.float64(0.8946118872347933), 'media_consumed': 65.0, 'run_id': 7}]"
8,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1786144.9501706306), 'flask_count': 1, 'avg_confluence': np.float64(0.07144579800682523), 'media_consumed': 65.0, 'run_id': 8}, {'day': 2, 'total_cells': np.float64(3372554.0675220806), 'flask_count': 1, 'avg_confluence': np.float64(0.13490216270088323), 'media_consumed': 65.0, 'run_id': 8}, {'day': 3, 'total_cells': np.float64(6299450.363682984), 'flask_count': 1, 'avg_confluence': np.float64(0.2519780145473194), 'media_consumed': 65.0, 'run_id': 8}, {'day': 4, 'total_cells': np.float64(11334273.104960937), 'flask_count': 1, 'avg_confluence': np.float64(0.4533709241984375), 'media_consumed': 65.0, 'run_id': 8}, {'day': 5, 'total_cells': np.float64(18134802.228788953), 'flask_count': 1, 'avg_confluence': np.float64(0.7253920891515582), 'media_consumed': 65.0, 'run_id': 8}, {'day': 6, 'total_cells': np.float64(22262574.159022767), 'flask_count': 1, 'avg_confluence': np.float64(0.8905029663609106), 'media_consumed': 65.0, 'run_id': 8}]"
9,6,10,12,12000000.0,12.0,0.5454545454545454,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1816424.382910617), 'flask_count': 1, 'avg_confluence': np.float64(0.07265697531642468), 'media_consumed': 65.0, 'run_id': 9}, {'day': 2, 'total_cells': np.float64(3429232.386931109), 'flask_count': 1, 'avg_confluence': np.float64(0.13716929547724435), 'media_consumed': 65.0, 'run_id': 9}, {'day': 3, 'total_cells': np.float64(6402053.854400965), 'flask_count': 1, 'avg_confluence': np.float64(0.25608215417603863), 'media_consumed': 65.0, 'run_id': 9}, {'day': 4, 'total_cells': np.float64(11499054.559354348), 'flask_count': 1, 'avg_confluence': np.float64(0.4599621823741739), 'media_consumed': 65.0, 'run_id': 9}, {'day': 5, 'total_cells': np.float64(18307167.51697862), 'flask_count': 1, 'avg_confluence': np.float64(0.7322867006791448), 'media_consumed': 65.0, 'run_id': 9}, {'day': 6, 'total_cells': np.float64(22288327.29263316), 'flask_count': 1, 'avg_confluence': np.float64(0.8915330917053265), 'media_consumed': 65.0, 'run_id': 9}]"
