uo_id,name,layer,category,time_score,cost_score,automation_fit,failure_risk,staff_attention,instrument,material_cost_usd,instrument_cost_usd
D1,Image_transfer_to_storage,compute,data_flow,3,1,4,2,1,network_storage,0.0,1.0
D2,Image_QC_and_plate_check,compute,QC,3,1,3,2,2,compute,0.0,2.0
D3,Segmentation_and_feature_extraction,compute,feature_pipe,2,2,3,3,2,compute,0.0,5.0
D4,Single_cell_embedding,compute,analysis,2,2,3,2,2,GPU,0.0,10.0
D5,Guide_level_aggregation,compute,analysis,3,1,4,2,1,compute,0.0,2.0
D6,POSH_QC_metrics,compute,QC,3,1,4,2,2,compute,0.0,2.0
D7,Update_surrogate_model,compute,modeling,2,1,3,3,2,GPU,0.0,10.0
D8,Acquisition_planning,compute,modeling,3,1,3,2,1,compute,0.0,1.0
D9,Demultiplex_and_basecall,compute,seq_pipe,2,2,3,2,1,compute,0.0,5.0
D10,Alignment_and_count_matrix,compute,seq_pipe,2,2,3,3,2,compute,0.0,5.0
D11,Guide_assignment_and_QC,compute,seq_pipe,3,1,3,3,2,compute,0.0,2.0
D12,Single_cell_QC_filtering,compute,QC,3,1,3,3,2,compute,0.0,2.0
D13,scRNA_embedding,compute,analysis,2,2,3,2,2,GPU,0.0,10.0
D14,Perturbation_effect_inference,compute,analysis,2,2,3,3,2,GPU,0.0,10.0
D15,Demultiplex_bulk_reads,compute,seq_pipe,3,1,4,2,1,compute,0.0,2.0
D16,Alignment_and_gene_counts_bulk,compute,seq_pipe,2,2,3,2,2,compute,0.0,2.0
D17,Bulk_QC_metrics,compute,QC,3,1,4,2,2,compute,0.0,1.0
D18,Expression_embedding_bulk,compute,analysis,3,1,3,2,2,compute_or_GPU,0.0,5.0
