uo_id,name,layer,category,time_score,cost_score,automation_fit,failure_risk,staff_attention,instrument,material_cost_usd,instrument_cost_usd
P1,Fix_cells,phenotyping,fixed_prep,2,1,4,2,2,hood,2.0,1.0
P2,Permeabilize_cells,phenotyping,fixed_prep,2,1,4,2,2,hood,2.0,1.0
P3,Block_non_specific_binding,phenotyping,fixed_prep,2,1,3,2,2,hood,2.0,1.0
P4,Stain_multiplex_dyes,phenotyping,staining,1,2,3,3,3,hood,10.0,2.0
P5,Optional_antibody_stain,phenotyping,staining,1,2,2,3,3,hood,20.0,2.0
P6,Wash_plate_once,phenotyping,wash,3,1,4,2,2,washer,1.0,1.0
P7,High_content_imaging,phenotyping,imaging,1,3,3,2,2,HC_microscope,0.0,20.0
P8,ISS_hybridization,phenotyping,ISS,1,3,2,4,4,hood,50.0,5.0
P9,ISS_imaging,phenotyping,ISS,1,3,3,3,3,HC_microscope,0.0,30.0
P10,Cell_capture_for_scRNA,phenotyping,cell_capture,1,4,2,4,4,microfluidics_or_droplet_instrument,500.0,50.0
P11,Lysis_and_barcode_RT,phenotyping,library_prep,1,4,2,4,4,bench_or_microfluidics,200.0,20.0
P12,cDNA_amplification,phenotyping,library_prep,2,3,2,3,3,thermocycler,50.0,5.0
P13,Library_prep_scRNA,phenotyping,library_prep,2,4,2,3,4,bench,300.0,20.0
P14,Pooling_and_qc,phenotyping,library_prep,3,2,3,2,3,QC_instruments,50.0,10.0
P15,Sequencing_run,phenotyping,sequencing,1,5,3,3,1,sequencer,1000.0,100.0
P16,RNA_extraction_bulk,phenotyping,RNA_prep,2,2,3,3,3,bench,20.0,5.0
P17,DNase_treatment,phenotyping,RNA_prep,3,1,3,2,2,bench,5.0,2.0
P18,QC_RNA_integrity,phenotyping,QC,3,2,3,2,2,bioanalyzer_or_Tapestation,10.0,5.0
P19,Library_prep_bulk_RNA,phenotyping,library_prep,2,3,3,3,3,bench,50.0,10.0
P20,Library_qc_and_pooling,phenotyping,QC,3,2,3,2,2,QC_instruments,10.0,5.0
P21,Sequencing_run_bulk,phenotyping,sequencing,1,4,3,2,1,sequencer,300.0,50.0
Diff5,Bulk_RNA_seq_per_sample,phenotyping,sequencing,1,5,3,2,1,sequencer,350.0,0.0
