uo_id,name,layer,category,time_score,cost_score,automation_fit,failure_risk,staff_attention,instrument,material_cost_usd,instrument_cost_usd
G1,Design_guide_list,genetic_supply_chain,compbio,4,2,3,2,2,compute,0.0,10.0
G2,QC_guide_list,genetic_supply_chain,compbio,4,1,3,2,2,compute,0.0,5.0
G3,Order_oligos,genetic_supply_chain,procurement,1,3,5,1,1,external_vendor,500.0,0.0
G4,Library_cloning,genetic_supply_chain,mol_bio,1,4,2,4,4,bench,200.0,20.0
G5,Transform_bacteria,genetic_supply_chain,mol_bio,2,2,3,3,3,incubator,50.0,5.0
G6,Maxiprep_plasmid,genetic_supply_chain,mol_bio,2,3,3,2,3,centrifuge,100.0,10.0
G7,LV_packaging_transfection,genetic_supply_chain,virus_prod,1,4,2,4,4,hood,300.0,20.0
G8,LV_harvest,genetic_supply_chain,virus_prod,2,2,3,3,3,hood,50.0,10.0
G9,LV_titer_assay,genetic_supply_chain,virus_QC,2,2,3,3,3,plate_reader,50.0,5.0
G10,Library_representation_QC,genetic_supply_chain,seq_QC,1,3,2,3,2,sequencer,200.0,50.0
