plate_id,well_id,cell_line,compound,dose_uM,time_h,raw_signal,is_control,date,incubator_id,liquid_handler_id,viability_norm
HepG2_P1,A09,HepG2,DMSO,0.0,24,9632.366486756968,1,2025-11-01,inc1,manual,0.9512201444213735
HepG2_P1,A10,HepG2,DMSO,0.0,24,10527.584137780443,1,2025-11-01,inc1,manual,1.0396251136951093
HepG2_P1,A11,HepG2,DMSO,0.0,24,10622.640898072821,1,2025-11-01,inc1,manual,1.0490122051619735
HepG2_P1,A12,HepG2,DMSO,0.0,24,9176.840945550297,1,2025-11-01,inc1,manual,0.9062358644222723
HepG2_P1,B09,HepG2,DMSO,0.0,24,9501.268786446057,1,2025-11-01,inc1,manual,0.9382739205007511
HepG2_P1,B10,HepG2,DMSO,0.0,24,10216.278741460857,1,2025-11-01,inc1,manual,1.008882931651539
HepG2_P1,B11,HepG2,DMSO,0.0,24,9994.237243705424,1,2025-11-01,inc1,manual,0.9869557815734306
HepG2_P1,B12,HepG2,DMSO,0.0,24,10143.957961125072,1,2025-11-01,inc1,manual,1.0017410747454243
HepG2_P1,C09,HepG2,DMSO,0.0,24,9725.836576090425,1,2025-11-01,inc1,manual,0.9604505481852968
HepG2_P1,C10,HepG2,DMSO,0.0,24,10592.057527308629,1,2025-11-01,inc1,manual,1.0459920212440128
HepG2_P1,C11,HepG2,DMSO,0.0,24,10541.254507591688,1,2025-11-01,inc1,manual,1.0409750967095663
HepG2_P1,C12,HepG2,DMSO,0.0,24,10185.373888657823,1,2025-11-01,inc1,manual,1.0058310005827782
HepG2_P1,D09,HepG2,DMSO,0.0,24,10715.979143361232,1,2025-11-01,inc1,manual,1.0582295889985773
HepG2_P1,D10,HepG2,DMSO,0.0,24,10386.113211003238,1,2025-11-01,inc1,manual,1.0256545078647092
HepG2_P1,D11,HepG2,DMSO,0.0,24,9722.712308435595,1,2025-11-01,inc1,manual,0.9601420189849259
HepG2_P1,D12,HepG2,DMSO,0.0,24,10336.733931918465,1,2025-11-01,inc1,manual,1.0207781812582601
HepG2_P1,A01,HepG2,staurosporine,0.0,24,9672.917239462717,0,2025-11-01,inc1,manual,0.9552246320930364
HepG2_P1,B01,HepG2,staurosporine,0.0,24,10591.583690530853,0,2025-11-01,inc1,manual,1.045945228683866
HepG2_P1,A02,HepG2,staurosporine,0.001,24,10035.3826470208,0,2025-11-01,inc1,manual,0.9910189924715768
HepG2_P1,B02,HepG2,staurosporine,0.001,24,9967.914420741297,0,2025-11-01,inc1,manual,0.9843563373458943
HepG2_P1,A03,HepG2,staurosporine,0.01,24,8526.565171580325,0,2025-11-01,inc1,manual,0.842019514631195
HepG2_P1,B03,HepG2,staurosporine,0.01,24,9478.30061311931,0,2025-11-01,inc1,manual,0.9360057562672784
HepG2_P1,A04,HepG2,staurosporine,0.1,24,3001.636414263796,0,2025-11-01,inc1,manual,0.29641906040451727
HepG2_P1,B04,HepG2,staurosporine,0.1,24,2864.7372442166434,0,2025-11-01,inc1,manual,0.2828999269202948
HepG2_P1,A05,HepG2,staurosporine,0.3,24,883.0355633245892,0,2025-11-01,inc1,manual,0.0872019578189475
HepG2_P1,B05,HepG2,staurosporine,0.3,24,1325.2569313453782,0,2025-11-01,inc1,manual,0.13087241763100735
HepG2_P1,A06,HepG2,staurosporine,1.0,24,454.093592790688,0,2025-11-01,inc1,manual,0.044842871532040876
HepG2_P1,B06,HepG2,staurosporine,1.0,24,477.73786640664304,0,2025-11-01,inc1,manual,0.047177802350405064
HepG2_P1,A07,HepG2,staurosporine,3.0,24,289.47422769362294,0,2025-11-01,inc1,manual,0.028586299851813452
HepG2_P1,B07,HepG2,staurosporine,3.0,24,1144.8875266249122,0,2025-11-01,inc1,manual,0.11306049037063133
HepG2_P1,A08,HepG2,staurosporine,10.0,24,-185.64530365164228,0,2025-11-01,inc1,manual,0.0
HepG2_P1,B08,HepG2,staurosporine,10.0,24,-238.55915999510316,0,2025-11-01,inc1,manual,0.0
HepG2_P1,D01,HepG2,tunicamycin,0.0,24,9745.472175753277,0,2025-11-01,inc1,manual,0.9623896124819862
HepG2_P1,E01,HepG2,tunicamycin,0.0,24,10460.348251164964,0,2025-11-01,inc1,manual,1.0329854026890337
HepG2_P1,D02,HepG2,tunicamycin,0.001,24,10704.170081318962,0,2025-11-01,inc1,manual,1.0570634147550233
HepG2_P1,E02,HepG2,tunicamycin,0.001,24,10082.710206131078,0,2025-11-01,inc1,manual,0.995692706628309
HepG2_P1,D03,HepG2,tunicamycin,0.01,24,9606.942541644383,0,2025-11-01,inc1,manual,0.9487094666170143
HepG2_P1,E03,HepG2,tunicamycin,0.01,24,9614.780172280027,0,2025-11-01,inc1,manual,0.9494834521329732
HepG2_P1,D04,HepG2,tunicamycin,0.1,24,9349.61509602543,0,2025-11-01,inc1,manual,0.9232977414379764
HepG2_P1,E04,HepG2,tunicamycin,0.1,24,9395.945787714802,0,2025-11-01,inc1,manual,0.9278730124578755
HepG2_P1,D05,HepG2,tunicamycin,0.3,24,7655.110617699663,0,2025-11-01,inc1,manual,0.7559612102945918
HepG2_P1,E05,HepG2,tunicamycin,0.3,24,7050.778629902718,0,2025-11-01,inc1,manual,0.6962819236415144
HepG2_P1,D06,HepG2,tunicamycin,1.0,24,4628.240012589899,0,2025-11-01,inc1,manual,0.45705021079142644
HepG2_P1,E06,HepG2,tunicamycin,1.0,24,4570.502255626904,0,2025-11-01,inc1,manual,0.45134846370856624
HepG2_P1,D07,HepG2,tunicamycin,3.0,24,2246.682938338657,0,2025-11-01,inc1,manual,0.22186552723193262
HepG2_P1,E07,HepG2,tunicamycin,3.0,24,2573.053028948245,0,2025-11-01,inc1,manual,0.25409538529965564
HepG2_P1,D08,HepG2,tunicamycin,10.0,24,863.8243328967645,0,2025-11-01,inc1,manual,0.08530480103954217
HepG2_P1,E08,HepG2,tunicamycin,10.0,24,1091.4833400453708,0,2025-11-01,inc1,manual,0.10778669413989837
HepG2_P2,A09,HepG2,DMSO,0.0,24,10178.349234089439,1,2025-11-02,inc1,manual,1.0156967677441644
HepG2_P2,A10,HepG2,DMSO,0.0,24,10349.433647663716,1,2025-11-02,inc1,manual,1.0327692695695887
