well_id,row,col,row_letter,compound,dose_uM,time_h,er,mito,nucleus,actin,rna,batch_id,context_id,profile,design,is_outlier,pathology_type,affected_channel,edge_distance,exposure_multiplier
A1,0,0,A,DMSO,0.0,24.0,91.33335207781528,124.29717415379133,172.31336649092864,81.90945224974311,138.9212368654939,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,1.0,1.0
A2,0,1,A,DMSO,0.0,24.0,102.84450539994738,137.6090177748439,198.1556856989829,105.30406001866035,119.65089272874816,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.9575093715454452,1.0
A3,0,2,A,DMSO,0.0,24.0,87.10364041128466,119.54930837929972,176.0300332195369,102.05974154968146,134.7059183622452,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.9171749178143036,1.0
A4,0,3,A,DMSO,0.0,24.0,88.36222342158116,112.55357494563447,149.93619622011533,106.66780523544749,134.83399451314003,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8792934093981166,1.0
A5,0,4,A,DMSO,0.0,24.0,92.58392004425426,123.5464707566723,160.1351490351021,79.3317020842456,151.247314304698,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8441951234325044,1.0
A6,0,5,A,DMSO,0.0,24.0,100.82167929885352,118.15157282326925,151.6110704175699,96.22004298325267,135.05416649482547,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.812240943142148,1.0
A7,0,6,A,DMSO,0.0,24.0,84.81688126467243,120.77798633535052,151.1787162959707,92.14535911152142,138.23128090523892,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7838154946660846,1.0
A8,0,7,A,DMSO,0.0,24.0,86.19564564459291,130.20004930631006,171.17419453135864,94.64238902744341,108.66404294716067,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7593151824596946,1.0
A9,0,8,A,DMSO,0.0,24.0,104.93378618169689,148.0714364965928,146.6318540175537,87.02097631597358,146.07678647831935,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7391304347826085,1.0
A10,0,9,A,DMSO,0.0,24.0,87.2421189254898,100.12574804948105,142.36297455330657,77.33208757235448,116.27944826505332,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7236224772649233,1.0
A11,0,10,A,DMSO,0.0,24.0,68.98792811324749,109.22030668638982,157.92792114745035,95.66353596640829,120.02231806265759,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.713096498558988,1.0
A12,0,11,A,DMSO,0.0,24.0,82.21751904242379,102.9857045964277,165.43147697807373,110.36152663487354,143.95879754748813,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7077748085260741,1.0
B1,1,0,B,DMSO,0.0,24.0,72.35003898001787,102.59875122030374,170.49377533753145,93.65301022736827,133.66422612454465,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.9357112565078799,1.0
B2,1,1,B,DMSO,0.0,24.0,109.14686457381254,155.49366373366254,181.7912323767818,111.63706797936,166.05774980559463,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8901571502565763,1.0
B3,1,2,B,DMSO,0.0,24.0,90.57921228345528,159.01495877091523,190.19898800272227,107.90469537807581,151.1811665892811,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8466199769809536,1.0
B4,1,3,B,DMSO,0.0,24.0,88.87204297613425,133.04927988002314,202.66304126498997,112.46005607603723,144.69868717400664,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8054268777279037,1.0
B5,1,4,B,DMSO,0.0,24.0,105.45671691984782,124.69806395007373,161.71987237516765,120.54216657488817,139.03361474692167,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7669556453816456,1.0
B6,1,5,B,DMSO,0.0,24.0,96.16804223011374,156.44275364475507,194.17011843862292,128.42955489646698,158.61390651451433,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7316357736415037,1.0
B7,1,6,B,DMSO,0.0,24.0,98.87782094012356,157.6172638755621,176.59196960797905,113.83196844189193,179.3971706365871,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6999444872518066,1.0
B8,1,7,B,DMSO,0.0,24.0,96.86202227424404,135.40987672101724,192.02082671005738,117.38698844918943,157.32051839304125,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6723950489625539,1.0
B9,1,8,B,DMSO,0.0,24.0,108.61992571369169,131.8466809213667,188.2513808630927,98.18757525923068,125.03097194329824,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6495147074373941,1.0
B10,1,9,B,DMSO,0.0,24.0,95.70230784290224,163.54265127260604,152.61651935434597,96.21689285491969,168.8450577660902,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6318109251655752,1.0
B11,1,10,B,DMSO,0.0,24.0,107.63238383937765,118.487624959338,204.17249387201758,106.60594250411404,141.36387111259677,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6197274980284838,1.0
B12,1,11,B,DMSO,0.0,24.0,94.36256363175093,114.06933324458761,181.8659277026618,120.32923830453524,145.93911771583657,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6135965573075491,1.0
C1,2,0,C,DMSO,0.0,24.0,91.6208102720893,105.52943871934498,166.2917932658879,93.89450468567921,142.77904788867147,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8768630958643937,1.0
C2,2,1,C,DMSO,0.0,24.0,90.61738565614785,133.59043200248502,215.14198467390054,111.26467123632318,151.6341659209325,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8280779465039765,1.0
C3,2,2,C,DMSO,0.0,24.0,88.93694631182582,186.4900046295153,196.6482555714128,124.64548889805225,147.97574578177654,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7810881632418736,1.0
C4,2,3,C,DMSO,0.0,24.0,116.80385068466109,145.25863781415057,186.49396065636714,111.17819936322881,181.64204908810373,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7362375898443742,1.0
C5,2,4,C,DMSO,0.0,24.0,119.72986904022258,138.71701688117227,199.43702413819912,115.16397717056563,154.89485239057976,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6939411324572928,1.0
C6,2,5,C,DMSO,0.0,24.0,89.990305612533,119.44211034261127,132.0739413826969,109.55373200827759,177.55075944071223,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6546940037951585,1.0
C7,2,6,C,DMSO,0.0,24.0,113.68487819097027,129.62919489470457,148.06959302925236,106.17766073809722,149.1393179338851,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6190764238505032,1.0
C8,2,7,C,DMSO,0.0,24.0,98.64740063638915,151.26675823316356,154.1000416593698,97.96804184909759,149.2124352033964,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.5877486156535704,1.0
C9,2,8,C,DMSO,0.0,24.0,98.94246546705575,140.35000465538394,175.886410820847,105.68269600121077,140.89536495503327,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.5614291482554296,1.0
C10,2,9,C,DMSO,0.0,24.0,94.81356610268526,132.53272997742926,159.560805300256,114.92128324502798,129.89491962179983,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.540849681974496,1.0
C11,2,10,C,DMSO,0.0,24.0,79.94661570899629,153.8985936746116,193.55671993951427,85.57544926534634,120.06878422903462,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.5266834961777118,1.0
C12,2,11,C,DMSO,0.0,24.0,108.19367117247583,145.9722470110949,173.69703558164352,98.51540182469134,138.9024581122458,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.5194555500454393,1.0
D1,3,0,D,DMSO,0.0,24.0,81.1176074392034,118.24898540144014,167.30183620384742,97.10445802657395,145.41453517821958,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.8246211251235319,1.0
D2,3,1,D,DMSO,0.0,24.0,81.75950737072253,98.01923910133735,185.67875958087686,98.48768866243668,135.43002826737083,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7725439771283921,1.0
D3,3,2,D,DMSO,0.0,24.0,88.52279317206907,154.43484854988284,181.07391606453754,104.64941454402633,140.20286836972608,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.7219486338152283,1.0
D4,3,3,D,DMSO,0.0,24.0,101.83748229568404,129.11755962097138,175.6823371343506,101.73735660510198,154.238224833771,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6731692950595444,1.0
D5,3,4,D,DMSO,0.0,24.0,91.98685041488604,104.65526022233779,173.51214544318887,94.70316648599967,136.1372230157424,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.6266301991024859,1.0
D6,3,5,D,DMSO,0.0,24.0,93.89962015896758,108.90061353439945,183.71636792769917,97.74497970777306,161.2655699715534,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.5828682095606571,1.0
D7,3,6,D,DMSO,0.0,24.0,97.09866185330297,152.827416906633,162.64311361294585,103.80130727277088,155.88818256003668,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.5425557387758781,1.0
D8,3,7,D,DMSO,0.0,24.0,96.48816716464627,118.33190802344548,163.19466248249756,100.64234968371701,149.92408400135048,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.5065170740595025,1.0
D9,3,8,D,DMSO,0.0,24.0,95.7225096251268,136.30640067849927,149.86710502357775,114.96961227042836,150.61933367365364,batch_0000002a,ctx_0000002a,clean,dmso_only,False,,,0.47572449970747577,1.0
